event_name,description,object_name,event_time,orbit_number,periap_time,event_data
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-347T15:15:18.520,15,+00000T10:24:02.015,{"event-data":" 8.855455814292229E-01 1.544719364328358E-01 1.800000000000000E+02 1.216352954802454E+02 2.778012760519671E+00 2.518883405304297E+02 1.099968802239590E+02 1.087175613738775E+02 2.610478624426148E+02 3.414515921191421E+08 7.933250560797322E-01 7.488402959094434E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-347T16:56:07.391,15,+00000T11:57:07.111,{"event-data":" 7.680541779296901E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-347T22:39:53.730,15,+00000T18:02:30.969,{"event-data":" 1.363685665392671E+02 06:09:40 "}
PERIAP,Periapsis,BENNU,2020-348T01:48:14.114,15,+00000T00:00:00.000,{"event-data":" 8.791184357954479E-01 1.409135041821430E-01 0.000000000000000E+00 1.210545044918547E+02 3.340730339990326E+00 2.533091440228479E+02 1.056106509841644E+02 2.857063558954248E+02 7.631607924931825E+01 3.414133805699939E+08 5.185749251045227E-01 1.403160972529815E+02 1.769701996331621E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-348T02:41:11.365,15,+00000T00:58:34.567,{"event-data":" 5.113429673819632E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-348T07:17:37.959,15,+00000T05:29:09.498,{"event-data":" 3.137165056792819E+02 18:12:17 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-348T12:14:24.433,16,+00000T10:24:24.678,{"event-data":" 8.859028866553627E-01 1.567600723276782E-01 1.800000000000000E+02 1.217726670655271E+02 3.412582673407301E+00 2.520993977714506E+02 1.101300102412094E+02 1.502260583338642E+02 2.610558847296036E+02 3.413738362478476E+08 7.924378041309084E-01 7.492935614635362E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-348T13:56:09.766,16,+00000T11:58:31.548,{"event-data":" 7.701692247493529E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-348T19:40:21.565,16,+00000T18:03:35.462,{"event-data":" 1.754092176349541E+02 06:09:35 "}
PERIAP,Periapsis,BENNU,2020-348T22:48:03.000,16,+00000T20:33:40.632,{"event-data":" 8.787256588598001E-01 1.424211262264781E-01 0.000000000000000E+00 1.211846219923872E+02 3.973558506200523E+00 2.536197547662697E+02 1.055544522692137E+02 3.258160718594730E+02 7.623052498070817E+01 3.413320592497559E+08 5.111787241650962E-01 1.428096263263368E+02 1.769086743466038E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-348T23:40:47.895,16,+00000T00:58:15.883,{"event-data":" 5.097493440626709E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-349T04:16:35.990,16,+00000T05:28:03.683,{"event-data":" 3.548419862167808E+02 18:12:11 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-349T09:14:11.752,17,+00000T10:24:05.279,{"event-data":" 8.855970507845706E-01 1.583007592905355E-01 1.800000000000000E+02 1.219035394079487E+02 4.062199596522508E+00 2.525149296114729E+02 1.100481910095545E+02 1.905860392120674E+02 2.610633418538998E+02 3.412890386307133E+08 7.983920043744814E-01 7.489055825894192E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-349T10:55:44.215,17,+00000T11:58:10.419,{"event-data":" 7.711638671188590E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-349T16:40:08.326,17,+00000T18:03:31.365,{"event-data":" 2.153942344412690E+02 06:09:28 "}
PERIAP,Periapsis,BENNU,2020-349T19:47:26.180,17,+00000T00:00:00.000,{"event-data":" 8.781849147377248E-01 1.434544185898029E-01 0.000000000000000E+00 1.213107476818291E+02 4.619108005630356E+00 2.539679929128709E+02 1.054700950076884E+02 6.504847802087701E+00 7.616039820195465E+01 3.412437763589804E+08 5.120098113787981E-01 1.452544298858456E+02 1.768488166790719E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-349T20:39:56.477,17,+00000T00:57:57.767,{"event-data":" 5.084087000134043E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-350T01:15:05.556,17,+00000T05:26:57.823,{"event-data":" 3.662081471780694E+01 18:12:03 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-350T06:12:55.652,18,+00000T10:23:16.148,{"event-data":" 8.848222276308157E-01 1.588915422267868E-01 1.800000000000000E+02 1.220277388233523E+02 4.722275515818878E+00 2.529385407684052E+02 1.099555067216381E+02 2.323515400212396E+02 2.610512804000987E+02 3.411973396187782E+08 7.898071873079682E-01 7.479229532244455E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-350T07:53:59.261,18,+00000T11:56:56.698,{"event-data":" 7.708726712942645E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-350T13:38:07.811,18,+00000T18:02:49.906,{"event-data":" 2.578677139324225E+02 06:09:19 "}
PERIAP,Periapsis,BENNU,2020-350T16:44:55.088,18,+00000T00:00:00.000,{"event-data":" 8.776496384971522E-01 1.440365675842173E-01 0.000000000000000E+00 1.214350329715962E+02 5.284258768648597E+00 2.542373785920416E+02 1.054901291788622E+02 4.996753079619019E+01 7.607166397649860E+01 3.411486799682748E+08 5.070844256856589E-01 1.478873499767446E+02 1.767936439712794E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-350T17:37:27.577,18,+00000T00:58:02.976,{"event-data":" 5.075303295403015E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-350T22:12:15.642,18,+00000T05:27:00.330,{"event-data":" 8.024412139751711E+01 18:11:54 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-351T03:09:18.051,19,+00000T10:22:20.754,{"event-data":" 8.839482391837905E-01 1.588848485363300E-01 1.800000000000000E+02 1.221489596815469E+02 5.391879605498766E+00 2.531701088560171E+02 1.100666848733267E+02 2.774826378134556E+02 2.610115032562691E+02 3.410988929144857E+08 7.859437978069290E-01 7.468150788594727E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-351T04:50:39.455,19,+00000T11:56:09.888,{"event-data":" 7.697899463150032E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-351T10:34:04.922,19,+00000T18:01:46.524,{"event-data":" 3.031860882800004E+02 06:09:09 "}
PERIAP,Periapsis,BENNU,2020-351T13:39:50.088,19,+00000T20:30:06.032,{"event-data":" 8.770264448862277E-01 1.441218223939851E-01 0.000000000000000E+00 1.215580420011922E+02 5.963631094522644E+00 2.543063503484306E+02 1.057457062343265E+02 9.724991591951151E+01 7.593036560207105E+01 3.410468927505586E+08 5.208130802960848E-01 1.507927410786369E+02 1.767383651992113E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-351T14:32:59.346,19,+00000T00:58:47.528,{"event-data":" 5.071580384838870E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-351T19:07:55.302,19,+00000T05:28:12.951,{"event-data":" 1.259702661733495E+02 18:11:45 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-352T00:03:15.564,20,+00000T10:21:46.458,{"event-data":" 8.834069022605996E-01 1.590352754614968E-01 1.800000000000000E+02 1.222711126053350E+02 6.066208648400189E+00 2.531094222589687E+02 1.104917621735422E+02 3.261542289799378E+02 2.609526347434266E+02 3.409937828540060E+08 7.928683882186098E-01 7.461291506734793E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-352T01:46:20.396,20,+00000T11:57:05.891,{"event-data":" 7.689018302786087E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-352T07:28:52.363,20,+00000T18:01:53.788,{"event-data":" 3.501253220795258E+02 06:08:59 "}
PERIAP,Periapsis,BENNU,2020-352T10:32:52.077,20,+00000T20:29:42.761,{"event-data":" 8.768420837801263E-01 1.445432551638229E-01 0.000000000000000E+00 1.216813383944928E+02 6.641283835206110E+00 2.541212586468082E+02 1.062814107935090E+02 1.474115672204130E+02 7.571909432221088E+01 3.409384409462802E+08 5.098064883834739E-01 1.538591513897410E+02 1.766715027538923E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-352T11:27:17.150,20,+00000T01:00:08.826,{"event-data":" 5.070425755086624E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-352T16:02:44.255,20,+00000T05:30:02.473,{"event-data":" 1.728722853668706E+02 18:11:34 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-352T20:56:19.261,21,+00000T10:22:00.470,{"event-data":" 8.836280951285592E-01 1.598190092192288E-01 1.800000000000000E+02 1.223974742742965E+02 6.743673219527407E+00 2.528716833348823E+02 1.111130953669322E+02 1.620812737433669E+01 2.608987127616895E+02 3.408819582615065E+08 7.959648216175955E-01 7.464093988411497E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-352T22:42:11.562,21,+00000T11:59:58.988,{"event-data":" 7.691420519847412E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-353T04:24:05.628,21,+00000T18:04:35.475,{"event-data":" 3.645574105082512E+01 06:08:47 "}
PERIAP,Periapsis,BENNU,2020-353T07:26:12.059,21,+00000T00:00:00.000,{"event-data":" 8.775836545075050E-01 1.461227240541592E-01 0.000000000000000E+00 1.218102637014817E+02 7.330314566094830E+00 2.539221736933251E+02 1.068324939679103E+02 1.971220559950565E+02 7.549561363785887E+01 3.408232009497932E+08 5.147158431300631E-01 1.570277035612796E+02 1.765957108039125E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-353T08:21:53.054,21,+00000T01:01:26.498,{"event-data":" 5.067564115671163E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-353T12:57:52.306,21,+00000T05:31:35.454,{"event-data":" 2.193178032557329E+02 18:11:21 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-353T17:50:38.332,22,+00000T10:23:00.897,{"event-data":" 8.845816434673984E-01 1.612797739922845E-01 1.800000000000000E+02 1.225306352531796E+02 7.439646997833834E+00 2.527225794769687E+02 1.116598739716255E+02 6.450874488173120E+01 2.608729969845972E+02 3.407632796031030E+08 7.997822985076730E-01 7.476179323166331E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-353T19:39:12.786,22,+00000T12:03:35.190,{"event-data":" 7.707837678887823E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-354T01:21:04.242,22,+00000T18:08:12.388,{"event-data":" 8.031553882969361E+01 06:08:32 "}
PERIAP,Periapsis,BENNU,2020-354T04:21:57.427,22,+00000T20:33:11.513,{"event-data":" 8.784951906496457E-01 1.481630037725677E-01 0.000000000000000E+00 1.219431453052117E+02 8.045155642729359E+00 2.540043958164232E+02 1.070836377174728E+02 2.431553002651039E+02 7.533815204148050E+01 3.407010137012831E+08 5.189786938488318E-01 1.601238803804692E+02 1.765176767860883E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-354T05:18:10.125,22,+00000T01:01:56.357,{"event-data":" 5.060615472949772E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-354T09:54:19.268,22,+00000T05:32:15.781,{"event-data":" 2.639079514842801E+02 18:11:04 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-354T14:47:35.045,23,+00000T10:24:08.975,{"event-data":" 8.856553157232381E-01 1.631644323351318E-01 1.800000000000000E+02 1.226673703866014E+02 8.166124930649064E+00 2.528750345801105E+02 1.119118939895300E+02 1.090301507430150E+02 2.608809794039606E+02 3.406376462498376E+08 8.010703265891091E-01 7.489794914661961E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-354T16:37:39.603,23,+00000T12:06:11.241,{"event-data":" 7.732443741064371E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-354T22:20:03.715,23,+00000T18:10:12.678,{"event-data":" 1.213437961469440E+02 06:08:12 "}
PERIAP,Periapsis,BENNU,2020-355T01:20:37.749,23,+00000T00:00:00.000,{"event-data":" 8.788282721209595E-01 1.497480601432251E-01 0.000000000000000E+00 1.220729498691350E+02 8.781452416830046E+00 2.544154005000566E+02 1.069855540552061E+02 2.848172353537476E+02 7.526545822783164E+01 3.405718506728060E+08 5.111588227465940E-01 1.629707357682228E+02 1.764385281146303E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-355T02:16:32.682,23,+00000T01:01:31.990,{"event-data":" 5.050396906600800E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-355T06:52:20.881,23,+00000T05:31:36.173,{"event-data":" 3.062763468047178E+02 18:10:43 "}
APOAPP,Apoapsis w/ Orbit Period,BENNU,2020-355T11:47:04.573,24,+00000T10:24:45.664,{"event-data":" 8.862336814775147E-01 1.649050487341081E-01 1.800000000000000E+02 1.227997232572751E+02 8.918994021619897E+00 2.533732892149840E+02 1.118149228288752E+02 1.498351291764539E+02 2.609086287845934E+02 3.405050886131634E+08 8.003298732053372E-01 7.497132782923740E+04 "}
SPOLEX,South Polar Minimum Slant Range Crossing,BENNU,2020-355T13:36:59.486,24,+00000T12:06:46.960,{"event-data":" 7.754827377153902E-01 "}
AEQUXT,Ascending Equator Crossing w/ True Solar Time,BENNU,2020-355T19:20:12.641,24,+00000T18:10:31.012,{"event-data":" 1.607396244640210E+02 06:07:50 "}
PERIAP,Periapsis,BENNU,2020-355T22:21:09.784,24,+00000T00:00:00.000,{"event-data":" 8.785509727521097E-01 1.506187317501414E-01 0.000000000000000E+00 1.221945328536021E+02 9.529482262093618E+00 2.550389502454584E+02 1.066636646174867E+02 3.236987984675738E+02 7.525351852435750E+01 3.404358469388053E+08 5.047305451649098E-01 1.655329776198653E+02 1.763574001385198E+02 "}
NPOLEX,North Polar Minimum Slant Range Crossing,BENNU,2020-355T23:16:16.893,24,+00000T01:00:35.169,{"event-data":" 5.039452086157298E-01 "}
DEQUXT,Descending Equator Crossing w/ True Solar Time,BENNU,2020-356T03:51:20.887,24,+00000T05:29:48.962,{"event-data":" 3.472707498012351E+02 18:10:19 "}
